entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-03 18:00:00+00:00,2025-01-07 15:00:00+00:00,short,2639.83,2658.087,2594.187,2658.087,SL,-40.0,43
2025-01-07 17:00:00+00:00,2025-01-08 16:00:00+00:00,short,2647.62,2666.222,2601.116,2666.222,SL,-40.0,22
2025-01-10 16:00:00+00:00,2025-01-13 17:00:00+00:00,long,2688.1,2662.211,2752.823,2662.211,SL,-40.0,24
2025-01-13 17:00:00+00:00,2025-01-14 07:00:00+00:00,short,2661.71,2674.316,2630.195,2674.316,SL,-40.0,13
2025-01-15 16:00:00+00:00,2025-01-15 22:00:00+00:00,short,2681.99,2695.889,2647.243,2695.889,SL,-40.0,6
2025-01-16 16:00:00+00:00,2025-01-17 23:00:00+00:00,long,2718.31,2699.332,2765.756,2699.332,SL,-40.0,30
2025-01-17 17:00:00+00:00,2025-01-17 21:00:00+00:00,long,2714.22,2702.796,2742.78,2702.796,SL,-40.0,4
2025-01-21 16:00:00+00:00,2025-01-24 08:00:00+00:00,long,2738.09,2722.375,2777.378,2777.378,TP,100.0,61
2025-01-23 16:00:00+00:00,2025-01-24 05:00:00+00:00,long,2746.2,2734.079,2776.501,2776.501,TP,100.0,12
2025-01-24 17:00:00+00:00,2025-01-27 09:00:00+00:00,short,2775.89,2786.398,2749.62,2749.62,TP,100.0,15
2025-01-27 16:00:00+00:00,2025-01-28 21:00:00+00:00,short,2751.45,2764.726,2718.26,2764.726,SL,-40.0,28
2025-01-28 16:00:00+00:00,2025-01-30 12:00:00+00:00,long,2753.24,2743.488,2777.621,2777.621,TP,100.0,42
2025-01-29 18:00:00+00:00,2025-01-30 02:00:00+00:00,short,2751.53,2760.873,2728.172,2760.873,SL,-40.0,7
2025-01-30 16:00:00+00:00,2025-01-31 17:00:00+00:00,long,2787.64,2775.936,2816.9,2816.9,TP,100.0,24
2025-01-31 16:00:00+00:00,2025-01-31 20:00:00+00:00,long,2812.28,2801.499,2839.232,2801.499,SL,-40.0,4
2025-02-03 16:00:00+00:00,2025-02-10 08:00:00+00:00,long,2829.38,2804.893,2890.598,2890.598,TP,100.0,107
2025-02-04 16:00:00+00:00,2025-02-07 17:00:00+00:00,long,2838.01,2818.927,2885.719,2885.719,TP,100.0,70
2025-02-05 16:00:00+00:00,2025-02-06 09:00:00+00:00,long,2870.86,2856.293,2907.277,2856.293,SL,-40.0,16
2025-02-06 16:00:00+00:00,2025-02-07 03:00:00+00:00,short,2841.87,2867.311,2778.267,2867.311,SL,-40.0,10
2025-02-11 17:00:00+00:00,2025-02-12 15:00:00+00:00,long,2904.67,2878.52,2970.045,2878.52,SL,-40.0,21
2025-02-12 16:00:00+00:00,2025-02-28 06:00:00+00:00,long,2894.49,2861.253,2977.582,2861.253,SL,-40.0,264
2025-02-14 17:00:00+00:00,2025-02-18 21:00:00+00:00,short,2901.88,2935.884,2816.871,2935.884,SL,-40.0,48
2025-02-18 18:00:00+00:00,2025-02-25 17:00:00+00:00,long,2932.83,2911.397,2986.413,2911.397,SL,-40.0,114
2025-02-21 18:00:00+00:00,2025-02-24 03:00:00+00:00,long,2936.68,2924.259,2967.732,2924.259,SL,-40.0,8
2025-02-25 17:00:00+00:00,2025-03-13 04:00:00+00:00,short,2905.86,2940.927,2818.192,2940.927,SL,-40.0,263
2025-02-26 16:00:00+00:00,2025-02-26 23:00:00+00:00,short,2901.42,2917.573,2861.037,2917.573,SL,-40.0,7
2025-02-27 16:00:00+00:00,2025-03-03 23:00:00+00:00,short,2872.33,2895.0,2815.656,2895.0,SL,-40.0,53
2025-02-28 16:00:00+00:00,2025-03-03 01:00:00+00:00,short,2833.85,2864.917,2756.182,2864.917,SL,-40.0,8
