entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-03 12:30:00+00:00,2025-01-03 13:15:00+00:00,short,2655.11,2659.1,2647.131,2659.1,SL,-40.0,3
2025-01-06 11:45:00+00:00,2025-01-06 13:00:00+00:00,short,2632.65,2636.865,2624.219,2636.865,SL,-40.0,5
2025-01-06 17:45:00+00:00,2025-01-07 07:15:00+00:00,short,2634.19,2643.56,2615.451,2643.56,SL,-40.0,50
2025-01-07 09:15:00+00:00,2025-01-07 13:45:00+00:00,long,2640.71,2637.237,2647.657,2647.657,TP,80.0,18
2025-01-07 10:00:00+00:00,2025-01-07 14:00:00+00:00,long,2642.74,2639.054,2650.112,2650.112,TP,80.0,16
2025-01-08 21:15:00+00:00,2025-01-09 14:30:00+00:00,long,2660.03,2653.374,2673.341,2673.341,TP,80.0,65
2025-01-08 22:00:00+00:00,2025-01-09 13:15:00+00:00,long,2658.99,2652.949,2671.071,2671.071,TP,80.0,57
2025-01-09 16:30:00+00:00,2025-01-09 17:45:00+00:00,long,2673.7,2668.207,2684.686,2668.207,SL,-40.0,5
2025-01-09 20:15:00+00:00,2025-01-10 11:15:00+00:00,long,2669.88,2664.395,2680.85,2680.85,TP,80.0,55
2025-01-10 15:00:00+00:00,2025-01-10 15:30:00+00:00,long,2679.72,2675.629,2687.903,2675.629,SL,-40.0,2
2025-01-15 15:00:00+00:00,2025-01-15 15:15:00+00:00,long,2685.7,2682.142,2692.816,2682.142,SL,-40.0,1
2025-01-15 15:30:00+00:00,2025-01-15 16:30:00+00:00,long,2686.94,2682.313,2696.194,2682.313,SL,-40.0,4
2025-01-16 15:00:00+00:00,2025-01-16 15:45:00+00:00,long,2706.39,2701.46,2716.25,2716.25,TP,80.0,3
2025-01-17 15:00:00+00:00,2025-01-17 16:45:00+00:00,short,2708.37,2712.264,2700.583,2712.264,SL,-40.0,7
2025-01-20 18:30:00+00:00,2025-01-21 02:45:00+00:00,long,2708.3,2702.806,2719.288,2702.806,SL,-40.0,19
2025-01-20 19:30:00+00:00,2025-01-21 04:00:00+00:00,long,2708.05,2702.495,2719.161,2719.161,TP,80.0,20
2025-01-22 09:00:00+00:00,2025-01-22 11:15:00+00:00,long,2749.97,2745.743,2758.425,2758.425,TP,80.0,9
2025-01-22 10:00:00+00:00,2025-01-22 11:15:00+00:00,long,2750.89,2746.237,2760.197,2760.197,TP,80.0,5
2025-01-23 17:00:00+00:00,2025-01-23 18:15:00+00:00,short,2744.26,2750.625,2731.53,2750.625,SL,-40.0,5
2025-01-24 10:30:00+00:00,2025-01-24 15:00:00+00:00,long,2772.53,2768.646,2780.297,2780.297,TP,80.0,18
2025-01-24 12:00:00+00:00,2025-01-24 15:00:00+00:00,long,2773.4,2769.061,2782.077,2782.077,TP,80.0,12
2025-01-29 10:00:00+00:00,2025-01-29 12:30:00+00:00,long,2761.32,2758.677,2766.606,2758.677,SL,-40.0,10
2025-01-31 19:15:00+00:00,2025-01-31 20:15:00+00:00,long,2807.79,2801.694,2819.982,2801.694,SL,-40.0,4
2025-02-03 19:00:00+00:00,2025-02-04 09:15:00+00:00,long,2817.19,2808.681,2834.208,2808.681,SL,-40.0,53
2025-02-04 10:30:00+00:00,2025-02-04 11:30:00+00:00,short,2812.57,2818.044,2801.622,2818.044,SL,-40.0,4
