entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2022-02-01 20:00:00+00:00,2022-02-02 08:00:00+00:00,short,1800.97,1811.843,1773.787,1800.784,SL,0.68,3
2022-02-02 12:00:00+00:00,2022-02-02 20:00:00+00:00,short,1801.45,1811.566,1776.16,1803.962,SL,-9.93,2
2022-02-04 12:00:00+00:00,2022-02-04 16:00:00+00:00,short,1795.73,1806.456,1768.915,1806.456,SL,-40.0,1
2022-02-15 16:00:00+00:00,2022-02-16 00:00:00+00:00,long,1852.98,1837.926,1890.614,1851.512,SL,-3.9,2
2022-02-23 12:00:00+00:00,2022-02-23 20:00:00+00:00,long,1901.1,1886.944,1936.49,1905.731,SL,13.09,2
2022-03-10 12:00:00+00:00,2022-03-10 20:00:00+00:00,long,1997.55,1964.115,2081.138,1995.705,SL,-2.21,2
2022-04-29 20:00:00+00:00,2022-05-02 16:00:00+00:00,short,1896.53,1913.221,1854.801,1866.134,SL,72.84,5
2022-05-05 16:00:00+00:00,2022-05-06 08:00:00+00:00,short,1876.47,1896.616,1826.105,1872.895,SL,7.1,4
2022-05-17 16:00:00+00:00,2022-05-18 08:00:00+00:00,short,1821.31,1838.193,1779.102,1813.308,SL,18.96,4
2022-05-18 20:00:00+00:00,2022-05-19 08:00:00+00:00,short,1816.36,1832.229,1776.688,1819.16,SL,-7.06,3
2022-06-15 16:00:00+00:00,2022-06-15 20:00:00+00:00,short,1819.83,1836.113,1779.123,1836.113,SL,-40.0,1
2022-07-18 16:00:00+00:00,2022-07-19 08:00:00+00:00,short,1711.97,1726.834,1674.811,1710.275,SL,4.56,4
2022-08-03 20:00:00+00:00,2022-08-04 16:00:00+00:00,long,1765.23,1749.689,1804.082,1783.04,SL,45.84,5
2022-08-24 12:00:00+00:00,2022-08-24 20:00:00+00:00,short,1745.78,1757.16,1717.329,1746.753,SL,-3.42,2
2022-09-21 16:00:00+00:00,2022-09-21 20:00:00+00:00,short,1665.26,1677.595,1634.423,1677.595,SL,-40.0,1
2023-01-31 16:00:00+00:00,2023-02-01 00:00:00+00:00,long,1929.62,1914.154,1968.285,1925.965,SL,-9.45,2
2023-02-08 12:00:00+00:00,2023-02-08 20:00:00+00:00,short,1877.75,1893.946,1837.261,1874.449,SL,8.15,2
2023-03-22 20:00:00+00:00,2023-03-23 12:00:00+00:00,long,1967.18,1944.768,2023.211,1976.079,SL,15.88,4
2023-04-25 16:00:00+00:00,2023-04-26 00:00:00+00:00,short,1990.56,2006.469,1950.787,1995.223,SL,-11.72,2
2023-04-26 16:00:00+00:00,2023-04-27 00:00:00+00:00,short,1986.55,2002.957,1945.533,1988.799,SL,-5.48,2
2023-05-19 20:00:00+00:00,2023-05-22 12:00:00+00:00,short,1977.06,1991.635,1940.623,1976.048,SL,2.78,4
2023-05-22 12:00:00+00:00,2023-05-22 20:00:00+00:00,short,1975.49,1989.61,1940.19,1973.537,SL,5.53,2
2023-06-26 16:00:00+00:00,2023-06-27 04:00:00+00:00,short,1923.79,1935.584,1894.304,1924.961,SL,-3.97,3
2023-07-17 16:00:00+00:00,2023-07-18 16:00:00+00:00,long,1954.59,1943.472,1982.384,1968.424,SL,49.77,6
2023-09-01 20:00:00+00:00,2023-09-04 08:00:00+00:00,long,1939.51,1930.32,1962.486,1943.047,SL,15.39,3
2023-10-24 16:00:00+00:00,2023-10-25 00:00:00+00:00,long,1974.35,1957.826,2015.661,1972.052,SL,-5.56,2
2024-02-16 12:00:00+00:00,2024-02-16 16:00:00+00:00,short,2001.5,2011.448,1976.63,2011.448,SL,-40.0,1
2024-04-15 12:00:00+00:00,2024-04-15 16:00:00+00:00,long,2357.35,2325.9,2435.975,2325.9,SL,-40.0,1
2024-08-02 20:00:00+00:00,2024-08-05 04:00:00+00:00,long,2440.07,2412.623,2508.689,2437.131,SL,-4.28,2
2024-09-04 20:00:00+00:00,2024-09-05 08:00:00+00:00,short,2495.44,2513.454,2450.405,2499.815,SL,-9.71,3
2024-09-09 16:00:00+00:00,2024-09-10 04:00:00+00:00,long,2504.32,2486.518,2548.825,2501.676,SL,-5.94,3
2024-09-17 20:00:00+00:00,2024-09-18 04:00:00+00:00,long,2569.58,2552.72,2611.73,2569.16,SL,-1.0,2
2024-10-01 12:00:00+00:00,2024-10-01 20:00:00+00:00,long,2651.49,2633.403,2696.706,2667.081,SL,34.48,2
2024-10-10 16:00:00+00:00,2024-10-11 00:00:00+00:00,short,2619.28,2639.34,2569.129,2623.177,SL,-7.77,2
2024-12-23 12:00:00+00:00,2024-12-24 00:00:00+00:00,short,2617.43,2637.656,2566.865,2614.822,SL,5.16,3
